tweet_id,gemma3_27b_k30
fcb1ff9a6c7f,0.05
59744af8ba0a,0.01
a5f21ee88cfb,0.03
f26152607011,0.75
4e8574a91409,0.15
a4199053c0ae,0.25
3e3cf3e311f7,0.02
ed5684de06f1,0.98
dc0427013a97,0.35
7a761c7b8913,0.65
e6ee779aa984,0.01
fb5168eeaee7,0.1
c34ad6b609e4,0.85
75072bb97267,0.35
491cf46a85be,0.05
9eaa3725ace1,0.28
cb4f95505141,0.12
6b3fa6b0a978,0.01
11b072c95228,0.03
7594a3cf1ffc,0.38
c90f94c115d4,0.98
6fb6699ddb38,0.95
fdcde2ad9cb6,0.65
9395fc83dbea,0.15
0217e2942a66,0.25
3ee609970ba1,0.89
1918fc1c6776,0.25
117736adcb46,0.95
61f78034335b,0.1
cdef6f71e53c,0.35
0f7b269bb0e1,0.65
999fb9790559,0.88
f384a3d50d51,0.45
a8070037072e,0.75
8eb6b3284e67,0.92
326eb1c3a47b,0.98
6580f1f4dda4,0.6
11f3e8e99de9,0.3
5a590076bdf2,0.15
790bbc7699f6,0.78
3f2f62b64a46,0.25
04085d43cafb,0.92
cc65ab05dd82,0.31
b961546e4c34,0.15
262f5e2432bb,0.2
bec52c3b97a9,0.98
ee2f99c1f0e3,0.85
ee1cabf8d91e,0.95
1326a2e6b40c,0.65
c4b7ccf85e88,0.99
98197a61396d,0.05
d3d824d68827,0.35
328d17912754,0.65
20604767f68e,0.12
f87b2d040f9c,0.98
b6d03924ba0b,0.35
d9b53d7fe0de,0.08
6e25c1dcf9d2,0.95
b3abad8f2f9d,0.02
30cfa992902a,0.05
03b6ac210a18,0.68
c9536ae51292,0.25
c85e3c8f7f37,0.3
cd174df77b6a,0.03
ac5ffff31729,0.92
65fd213080ac,0.92
35811155b165,0.98
a1a0e649da00,1.0
560d5e042f79,1.0
3990f62a3dc6,0.75
638505bfc40d,0.68
33037e5a479e,0.15
23d974a3378b,0.05
8c839b17873d,0.95
1bd7b5f1788c,0.78
069cd59f3699,0.85
1ee2841e14f0,0.32
24097a929a9f,0.02
ac040d24dc61,0.95
df17416ee650,0.98
49eec9dcc8c7,0.78
53a762bd2136,0.85
70f28072608b,0.32
710c6a10d231,0.92
79acf774fd10,0.97
de1f471a146a,0.25
d33f6ca623c9,0.68
7b2c72bb324d,0.55
2d21d4ba1cd3,0.15
ca5744994573,0.7
7490a40c5298,0.1
27c4d29ba8e2,0.98
602a968fadba,0.15
1451543cdef8,0.05
29ade1522dd1,0.42
7067df323d78,0.95
f620df971bb8,0.97
14f8efdaa4bd,0.92
40e481da87c1,0.88
01f8ac2bc540,0.03
511805e90974,0.1
4.72239E+11,0.08
a838081e7345,0.91
acd7a3c8c853,0.99
c8a1f709a092,0.95
5694dd8a323f,0.05
85e28a3cba31,0.25
75b7a40b2ca0,0.98
c4a6504c9991,0.85
b108ad8f8bc4,0.1
b8de504c17f4,0.75
b839fd0fae1e,0.01
33257a8a5bbd,0.97
090148e8a026,0.02
ca2c28c29dfa,0.78
19249273cff7,0.35
e6a01d8922b7,0.92
c2a2934be5c7,0.25
80fdda51a089,0.38
2e790a12abca,0.67
93aab52d7ad8,0.95
449c78cd4d59,0.15
44876892fcec,0.88
96df07ef343c,0.08
5d30140bfc79,0.12
73e01ee5c514,0.35
c23a6892d1ed,0.98
4af3ed4b24f7,0.75
77f9d345b278,0.1
9af2628a1ac6,0.05
0a14be49e150,0.05
5943b66bb54c,0.78
8b9e279de81e,0.95
ed3932295d9d,0.72
d18285d3c7ec,0.08
e29113b41191,0.45
6c951b19172c,0.32
766612d68655,0.51
d8ab97429fdf,0.91
243d252f7ca3,0.65
9db080ed1e1d,0.38
8e66379d50d0,0.07
f2c97057b1c8,0.29
4dcbc1d686fe,0.35
96f9fe7bf6d3,0.48
8c976693c7d3,0.95
92d30ae65fea,0.78
4.91836E+11,0.25
978e54bd499d,0.1
45d8fefbf773,0.92
