tweet_id,llama3_1_8b_k5
fcb1ff9a6c7f,0.0
59744af8ba0a,0.01
a5f21ee88cfb,0.06
f26152607011,0.88
4e8574a91409,0.05
a4199053c0ae,0.0
3e3cf3e311f7,0.17
ed5684de06f1,0.95
dc0427013a97,0.67
7a761c7b8913,0.87
e6ee779aa984,0.0
fb5168eeaee7,0.02
c34ad6b609e4,0.62
75072bb97267,0.33
491cf46a85be,0.06
9eaa3725ace1,0.56
cb4f95505141,0.05
6b3fa6b0a978,0.04
11b072c95228,0.0
7594a3cf1ffc,0.67
c90f94c115d4,0.9
6fb6699ddb38,0.83
fdcde2ad9cb6,0.9
9395fc83dbea,0.13
0217e2942a66,0.17
3ee609970ba1,0.82
1918fc1c6776,0.61
117736adcb46,0.43
61f78034335b,0.07
cdef6f71e53c,0.32
0f7b269bb0e1,0.71
999fb9790559,0.92
f384a3d50d51,0.42
a8070037072e,0.67
8eb6b3284e67,0.95
326eb1c3a47b,0.98
6580f1f4dda4,0.67
11f3e8e99de9,0.61
5a590076bdf2,0.17
790bbc7699f6,0.78
3f2f62b64a46,0.45
04085d43cafb,0.92
cc65ab05dd82,0.38
b961546e4c34,0.17
262f5e2432bb,0.0
bec52c3b97a9,0.85
ee2f99c1f0e3,0.93
ee1cabf8d91e,0.98
1326a2e6b40c,0.38
c4b7ccf85e88,0.98
98197a61396d,0.09
d3d824d68827,-1.0
328d17912754,0.0
20604767f68e,0.12
f87b2d040f9c,0.94
b6d03924ba0b,0.56
d9b53d7fe0de,0.01
6e25c1dcf9d2,0.89
b3abad8f2f9d,0.11
30cfa992902a,0.06
03b6ac210a18,0.95
c9536ae51292,0.38
c85e3c8f7f37,0.0
cd174df77b6a,0.0
ac5ffff31729,0.83
65fd213080ac,0.42
35811155b165,0.17
a1a0e649da00,0.89
560d5e042f79,0.97
3990f62a3dc6,0.06
638505bfc40d,0.12
33037e5a479e,0.44
23d974a3378b,0.05
8c839b17873d,0.95
1bd7b5f1788c,0.05
069cd59f3699,0.96
1ee2841e14f0,0.52
24097a929a9f,0.01
ac040d24dc61,0.62
df17416ee650,0.95
49eec9dcc8c7,0.85
53a762bd2136,0.53
70f28072608b,0.33
710c6a10d231,0.92
79acf774fd10,0.67
de1f471a146a,0.21
d33f6ca623c9,0.83
7b2c72bb324d,0.56
2d21d4ba1cd3,0.03
ca5744994573,0.93
7490a40c5298,0.05
27c4d29ba8e2,0.98
602a968fadba,0.25
1451543cdef8,0.06
29ade1522dd1,0.01
7067df323d78,0.92
f620df971bb8,0.92
14f8efdaa4bd,0.98
40e481da87c1,0.82
01f8ac2bc540,0.02
511805e90974,0.05
4.72239E+11,0.02
a838081e7345,0.83
acd7a3c8c853,0.95
c8a1f709a092,0.95
5694dd8a323f,0.05
85e28a3cba31,0.12
75b7a40b2ca0,0.85
c4a6504c9991,0.83
b108ad8f8bc4,0.0
b8de504c17f4,0.67
b839fd0fae1e,0.03
33257a8a5bbd,0.93
090148e8a026,0.06
ca2c28c29dfa,0.67
19249273cff7,0.42
e6a01d8922b7,0.88
c2a2934be5c7,0.15
80fdda51a089,0.51
2e790a12abca,0.67
93aab52d7ad8,0.95
449c78cd4d59,0.04
44876892fcec,0.82
96df07ef343c,0.07
5d30140bfc79,0.0
73e01ee5c514,0.47
c23a6892d1ed,0.83
4af3ed4b24f7,0.25
77f9d345b278,0.07
9af2628a1ac6,0.09
0a14be49e150,0.0
5943b66bb54c,0.67
8b9e279de81e,0.97
ed3932295d9d,0.2
d18285d3c7ec,0.06
e29113b41191,0.04
6c951b19172c,0.25
766612d68655,0.42
d8ab97429fdf,0.83
243d252f7ca3,0.55
9db080ed1e1d,0.05
8e66379d50d0,0.0
f2c97057b1c8,0.72
4dcbc1d686fe,0.32
96f9fe7bf6d3,0.75
8c976693c7d3,0.02
92d30ae65fea,0.83
4.91836E+11,0.04
978e54bd499d,0.05
45d8fefbf773,0.87
