tweet_id,gemma3_27b_k3
fcb1ff9a6c7f,0.05
59744af8ba0a,0.01
a5f21ee88cfb,0.02
f26152607011,0.65
4e8574a91409,0.1
a4199053c0ae,0.25
3e3cf3e311f7,0.05
ed5684de06f1,0.98
dc0427013a97,0.25
7a761c7b8913,0.78
e6ee779aa984,0.02
fb5168eeaee7,0.05
c34ad6b609e4,0.92
75072bb97267,0.35
491cf46a85be,0.05
9eaa3725ace1,0.22
cb4f95505141,0.15
6b3fa6b0a978,0.0
11b072c95228,0.0
7594a3cf1ffc,0.35
c90f94c115d4,0.98
6fb6699ddb38,0.95
fdcde2ad9cb6,0.65
9395fc83dbea,0.32
0217e2942a66,0.15
3ee609970ba1,0.92
1918fc1c6776,0.27
117736adcb46,0.95
61f78034335b,0.11
cdef6f71e53c,0.05
0f7b269bb0e1,0.68
999fb9790559,0.85
f384a3d50d51,0.35
a8070037072e,0.78
8eb6b3284e67,0.92
326eb1c3a47b,0.92
6580f1f4dda4,0.35
11f3e8e99de9,0.28
5a590076bdf2,0.25
790bbc7699f6,0.78
3f2f62b64a46,0.25
04085d43cafb,0.92
cc65ab05dd82,0.25
b961546e4c34,0.12
262f5e2432bb,0.08
bec52c3b97a9,0.92
ee2f99c1f0e3,0.78
ee1cabf8d91e,0.95
1326a2e6b40c,0.12
c4b7ccf85e88,0.95
98197a61396d,0.03
d3d824d68827,0.15
328d17912754,0.65
20604767f68e,0.12
f87b2d040f9c,0.95
b6d03924ba0b,0.45
d9b53d7fe0de,0.08
6e25c1dcf9d2,0.95
b3abad8f2f9d,0.05
30cfa992902a,0.12
03b6ac210a18,0.78
c9536ae51292,0.62
c85e3c8f7f37,0.35
cd174df77b6a,0.05
ac5ffff31729,0.95
65fd213080ac,0.91
35811155b165,0.98
a1a0e649da00,1.0
560d5e042f79,0.95
3990f62a3dc6,0.65
638505bfc40d,0.78
33037e5a479e,0.15
23d974a3378b,0.32
8c839b17873d,0.98
1bd7b5f1788c,0.78
069cd59f3699,0.92
1ee2841e14f0,0.35
24097a929a9f,0.05
ac040d24dc61,0.92
df17416ee650,0.98
49eec9dcc8c7,0.75
53a762bd2136,0.95
70f28072608b,0.47
710c6a10d231,0.88
79acf774fd10,0.95
de1f471a146a,0.35
d33f6ca623c9,0.68
7b2c72bb324d,0.67
2d21d4ba1cd3,0.12
ca5744994573,0.95
7490a40c5298,0.05
27c4d29ba8e2,0.95
602a968fadba,0.12
1451543cdef8,0.05
29ade1522dd1,0.65
7067df323d78,0.98
f620df971bb8,0.99
14f8efdaa4bd,0.95
40e481da87c1,0.78
01f8ac2bc540,0.05
511805e90974,0.05
4.72239E+11,0.12
a838081e7345,0.95
acd7a3c8c853,0.95
c8a1f709a092,0.95
5694dd8a323f,0.05
85e28a3cba31,0.25
75b7a40b2ca0,0.95
c4a6504c9991,0.88
b108ad8f8bc4,0.02
b8de504c17f4,0.65
b839fd0fae1e,0.05
33257a8a5bbd,0.98
090148e8a026,0.0
ca2c28c29dfa,0.78
19249273cff7,0.35
e6a01d8922b7,0.67
c2a2934be5c7,0.15
80fdda51a089,0.32
2e790a12abca,0.68
93aab52d7ad8,0.95
449c78cd4d59,0.05
44876892fcec,0.88
96df07ef343c,0.05
5d30140bfc79,0.03
73e01ee5c514,0.25
c23a6892d1ed,0.95
4af3ed4b24f7,0.78
77f9d345b278,0.15
9af2628a1ac6,0.05
0a14be49e150,0.02
5943b66bb54c,0.78
8b9e279de81e,0.95
ed3932295d9d,0.65
d18285d3c7ec,0.02
e29113b41191,0.35
6c951b19172c,0.25
766612d68655,0.58
d8ab97429fdf,0.95
243d252f7ca3,0.65
9db080ed1e1d,0.32
8e66379d50d0,0.05
f2c97057b1c8,0.35
4dcbc1d686fe,0.25
96f9fe7bf6d3,0.38
8c976693c7d3,0.95
92d30ae65fea,0.75
4.91836E+11,0.12
978e54bd499d,0.05
45d8fefbf773,0.92
