tweet_id,llama3_1_8b_k20
fcb1ff9a6c7f,0.0
59744af8ba0a,0.0
a5f21ee88cfb,0.15
f26152607011,0.83
4e8574a91409,0.0
a4199053c0ae,0.15
3e3cf3e311f7,0.05
ed5684de06f1,0.95
dc0427013a97,0.47
7a761c7b8913,0.93
e6ee779aa984,0.05
fb5168eeaee7,0.23
c34ad6b609e4,0.83
75072bb97267,0.38
491cf46a85be,0.04
9eaa3725ace1,0.56
cb4f95505141,0.09
6b3fa6b0a978,0.07
11b072c95228,0.25
7594a3cf1ffc,0.07
c90f94c115d4,0.95
6fb6699ddb38,0.93
fdcde2ad9cb6,0.83
9395fc83dbea,0.02
0217e2942a66,0.02
3ee609970ba1,0.92
1918fc1c6776,0.38
117736adcb46,0.45
61f78034335b,0.06
cdef6f71e53c,0.62
0f7b269bb0e1,0.67
999fb9790559,0.93
f384a3d50d51,0.59
a8070037072e,0.92
8eb6b3284e67,0.83
326eb1c3a47b,0.88
6580f1f4dda4,0.05
11f3e8e99de9,0.42
5a590076bdf2,0.51
790bbc7699f6,0.85
3f2f62b64a46,0.38
04085d43cafb,0.92
cc65ab05dd82,0.16
b961546e4c34,0.12
262f5e2432bb,0.45
bec52c3b97a9,0.98
ee2f99c1f0e3,0.92
ee1cabf8d91e,0.85
1326a2e6b40c,0.32
c4b7ccf85e88,0.98
98197a61396d,0.04
d3d824d68827,-1.0
328d17912754,0.0
20604767f68e,0.0
f87b2d040f9c,0.93
b6d03924ba0b,0.57
d9b53d7fe0de,0.16
6e25c1dcf9d2,0.88
b3abad8f2f9d,0.11
30cfa992902a,0.02
03b6ac210a18,0.67
c9536ae51292,0.04
c85e3c8f7f37,0.01
cd174df77b6a,0.04
ac5ffff31729,0.92
65fd213080ac,0.67
35811155b165,0.42
a1a0e649da00,0.96
560d5e042f79,0.92
3990f62a3dc6,0.13
638505bfc40d,-1.0
33037e5a479e,0.0
23d974a3378b,0.11
8c839b17873d,0.95
1bd7b5f1788c,-1.0
069cd59f3699,0.83
1ee2841e14f0,0.05
24097a929a9f,1.0
ac040d24dc61,0.62
df17416ee650,0.95
49eec9dcc8c7,0.85
53a762bd2136,0.42
70f28072608b,0.17
710c6a10d231,0.68
79acf774fd10,0.98
de1f471a146a,0.32
d33f6ca623c9,0.83
7b2c72bb324d,0.87
2d21d4ba1cd3,0.04
ca5744994573,0.35
7490a40c5298,0.06
27c4d29ba8e2,0.95
602a968fadba,0.24
1451543cdef8,0.04
29ade1522dd1,0.08
7067df323d78,0.95
f620df971bb8,0.98
14f8efdaa4bd,0.97
40e481da87c1,0.83
01f8ac2bc540,0.05
511805e90974,0.05
4.72239E+11,0.06
a838081e7345,0.92
acd7a3c8c853,0.98
c8a1f709a092,0.95
5694dd8a323f,0.04
85e28a3cba31,0.13
75b7a40b2ca0,0.9
c4a6504c9991,0.63
b108ad8f8bc4,0.06
b8de504c17f4,0.78
b839fd0fae1e,0.05
33257a8a5bbd,0.92
090148e8a026,0.07
ca2c28c29dfa,0.85
19249273cff7,0.24
e6a01d8922b7,0.71
c2a2934be5c7,0.07
80fdda51a089,0.46
2e790a12abca,0.29
93aab52d7ad8,0.98
449c78cd4d59,0.08
44876892fcec,0.67
96df07ef343c,0.17
5d30140bfc79,0.01
73e01ee5c514,0.73
c23a6892d1ed,0.83
4af3ed4b24f7,0.63
77f9d345b278,0.04
9af2628a1ac6,0.02
0a14be49e150,0.0
5943b66bb54c,0.55
8b9e279de81e,0.95
ed3932295d9d,0.43
d18285d3c7ec,0.03
e29113b41191,0.08
6c951b19172c,0.28
766612d68655,0.63
d8ab97429fdf,0.83
243d252f7ca3,0.58
9db080ed1e1d,0.08
8e66379d50d0,0.03
f2c97057b1c8,0.23
4dcbc1d686fe,0.08
96f9fe7bf6d3,0.78
8c976693c7d3,0.13
92d30ae65fea,0.63
4.91836E+11,0.08
978e54bd499d,0.01
45d8fefbf773,0.92
